,name,release_date,director(s),main_actors/actresses,average_rating_score,number_of_rating_people,brief_introduction
0,天龙八部 天龍八部,1997-07-28(香港),李添胜,黄日华/陈浩民/樊少皇/李若彤/赵学而,8.8,74280,"/丐帮帮主乔峰（黄日华 饰）英雄盖世、义薄云天，与燕王后裔慕容复（张国强饰）并称“北乔峰，南慕容”。时值江湖上突发多起命案，乔峰在帮助慕容复洗刷嫌疑的同时，却不想被丐帮的阴谋党揭发了自己的身世之谜，更因此被逐出丐帮。乔峰在追寻江湖命案和自己身世之谜时，与慕容复的婢女阿朱（刘锦玲饰）患难见真情，结下共度一生的盟约，却最终因为两人误解阿朱的生父就是乔峰一直要寻找的“带头大哥”，而酿下不可挽回的悲剧……
另一方面，大理镇南王世子段誉（陈浩民 饰）外出游玩，阴差阳错掉下悬崖进入琅嬛福地，段誉在洞中偶得“北冥神功”和“凌波微步”两部武功秘笈，也对洞中一幅画像中的“神仙姐姐”一见钟情。其后他闯入曼陀山庄，发现慕容复的表妹王语嫣（李若彤饰）长相与“神仙姐姐”一模一样，无奈王语嫣一直钟情于表哥慕容复。在步步跟随王语嫣和慕容复的同时，段誉不慎发现了慕容复的阴谋，而王语嫣也逐渐被段誉的深情所打动。
与此同时，少林寺小沙弥虚竹（樊少皇 饰）偶遇了遭仇家追杀受了重伤的天山童姥，善良的虚竹背着童姥一起逃难，更演绎了一段武林奇遇……/©豆瓣"
0,肖申克的救赎 The Shawshank Redemption,1994-09-10(多伦多电影节)/1994-10-14(美国),弗兰克·德拉邦特,蒂姆·罗宾斯/摩根·弗里曼/鲍勃·冈顿/威廉姆·赛德勒/克兰西·布朗,9.6,1192461,"/20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 Tim Robbins 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德（摩根·弗里曼 Morgan Freeman 饰），请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟稔，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步……
本片根据著名作家斯蒂芬·金（Stephen Edwin King）的原著改编。/©豆瓣"
0,羞羞的铁拳,2017-09-30(中国大陆),宋阳/张吃鱼,艾伦/马丽/沈腾/田雨/宋阳,6.9,411782,"堕落沉沦的MMA选手艾迪生（艾伦 饰）依靠打假拳度日，早已忘记昔日的雄心壮志。某次他和假拳掮客马东（田雨 饰）商议打假赛的时候，不慎被正义感爆棚的体育记者马小（马丽 饰）听到并录音。在追赶马丽的过程中，艾迪生和对方一同跌入游泳池，并遭到雷电的电击。当他们从医院醒来后，发现两人居然互换了身体。在所有复原的办法都失败后，艾迪生只能请求马小代替他去和拳王吴良（薛皓文 饰）——同时也是马小的未婚夫——去打比赛。然而，娘娘的艾迪生和汉子力爆表的马小却闹出了一连串的笑话。
而在这一过程中，两人渐次发现了当年艾迪生遭遇惨败和黑幕的真相……/©豆瓣"
0,最后的武士 The Last Samurai,2003-12-05,爱德华·兹威克,汤姆·克鲁斯/渡边谦/蒂莫西·斯波/比利·康诺利/托尼·戈德温,7.8,47782,"美国内战结束的十年后，当年的南北战争英雄纳森（汤姆•克鲁斯 Tom Cruise）因无所事事而终日酗酒。一次偶然的机会，他结识了来美做生意的日本商人。纳森的彪炳战绩令对方刮目相看。此时正值明治维新时期，日本天皇意欲训练一支现代化的作战部队，于是纳森被请到了日本。
日本很多武士都不欢迎纳森的到来，他们坚决不肯抛弃传统的武士道精神，对将武士西化十分反感。他们在首领乌吉奥（真田广之 饰）的带领下举刀起义，躲到了一条偏僻的小山村自立为政。天皇大怒，派纳森率领他训练出来的现代化军队去围剿叛变武士。岂料皇军全军覆没，纳森亦成为了阶下囚……/©豆瓣"
0,请叫我英雄 アイアムアヒーロー,2016-04-23(日本),佐藤信介,大泉洋/有村架纯/长泽雅美/吉泽悠/冈田义德,7.0,35671,"居住在东京的35岁男子的铃木英雄（大泉洋 饰）是某著名漫画家的助手，他早年曾出版过单行本，但在此之后一直籍籍无名。不仅生活拮据，与女朋友黑川彻子（片濑那奈 饰）的关系也日趋紧张。许是太过为自身的境遇所焦灼，英雄根本没发觉周遭接连发生的异样。直到冷战许久的女友化身为恐怖丧尸，他才发现全日本早已被名为ZQN的僵尸病毒所攻占。原本秩序井然的都市，顿时变成了僵尸肆虐的狩猎场。他慌不择路之际，与女高中生早狩比呂美（有村架纯 饰）坐上一辆出租车，历经千难万险逃出了城市。根据手机上收到的信息，他们朝向ZQN不宜生存的富士山前进，并在途中邂逅了护士的薮（长泽雅美 饰）所在的幸存者们。只不过，危机和考验并未就此结束……
本片根据漫画家花泽健吾的同名原作改编。/©豆瓣"
0,英雄,2002-12-19(中国大陆/香港),张艺谋,李连杰/梁朝伟/张曼玉/陈道明/甄子丹,7.1,157124,"战国末期，燕、赵、楚、韩、魏、齐、秦七雄并起，惟秦国最为强大，急欲吞并六国一统天下，秦王（陈道明）因此成为六国大敌，各地不同的刺秦故事一直在上演，其中赵国刺客残剑（梁朝伟）、飞雪（张曼玉）、如月（章子怡）、长空（甄子丹）因名震天下的高超剑术，令秦王十年里没睡过一个安稳觉。
某日闻得残剑等人已被名叫无名（李连杰）的秦国剑客杀死，秦王大喜急召其上殿相见，却也谨慎小心以防有诈，秦王和无名斗智斗勇的较量遂即展开。/©豆瓣"
0,枪火 鎗火,1999-11-19(香港),杜琪峰,吴镇宇/任达华/黄秋生/吕颂贤/张耀扬,8.7,113141,黑社会老大文哥（高雄饰）被人追杀，其弟阿南（任达华饰）安排五个人来做其兄的保镖，并命令他们查出暗杀文哥的幕后人物。这五人分别是阿鬼（黄秋生饰）、阿来（吴镇宇饰）、阿MIKE（张耀扬饰）、阿信（吕颂贤饰）和阿肥（林雪饰）。阿来和阿信是知名的高手，阿鬼、阿MIKE、阿肥则是金盆洗手的昔日英雄：阿鬼是文哥以前的手下，阿MIKE是神枪手，阿肥是枪械专家。五人同心协力，将杀手擒获，并查清了幕后主使人。五个不认识的江湖人成为肝胆相照的好友，这时，阿南告诉阿鬼，阿信与文哥之妻通奸，要求阿鬼去杀死阿信，阿来坚决不允许这么做。阿MIKE和阿肥又分别支持阿来和阿鬼，最后他们约定在一家小餐厅解决这个问题，互相对准的枪口真是一触即发……/©豆瓣
0,影,2018-09-30(中国大陆)/2018-09-06(威尼斯电影节),张艺谋,邓超/孙俪/郑恺/王千源/王景春,7.4,198331,纷乱时局，群敌环伺。一个从小被秘密囚禁的替身，不甘只做他人手中的武器；但若想冲破枷锁，找回自我，又必将历经千难万险的考验；替身能否寻回自由，他又该如何选择？
