,name,release_date,director(s),main_actors/actresses,average_rating_score,number_of_rating_people,brief_introduction
0,Tian long ba bu (1977),9 September 1977 (Hong Kong),Hsueh Li Pao,Danny Lee/Ni Tien/Chen Chi Lin,6.3,308,"A bookish young man and his sword-loving sister find themselves battling a trio of villains, one of them a beautiful but masked woman who has promised to either marry or murder the first man to see her unmasked."
0,The Shawshank Redemption (1994),26 October 1995 (Hong Kong),Frank Darabont,Tim Robbins/Morgan Freeman/Bob Gunton,9.3,"2,014,012","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
0,Xiu xiu de tie quan (2017),30 September 2017 (China),Yang Song/Chiyu Zhang,Lun Ai/Yuan Chang/Li Ma,6.2,823,A male UFC boxer switches bodies with the female reporter who exposed his bribes. Now they must help each other win the championship.
0,Ying xiong (2002),19 December 2002 (China),Yimou Zhang,Jet Li/Tony Chiu-Wai Leung/Maggie Cheung,7.9,"162,891","A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
0,Cheung foh (1999),19 November 1999 (Hong Kong),Johnnie To,Anthony Chau-Sang Wong/Francis Ng/Jackie Chung-yin Lui,7.6,"4,369","Triad boss Lung, who has just escaped being killed in an assassination, hires five killers for his protection. Their grown solidarity is under compulsion when Lung gives a special order."
0,Ying (2018),30 September 2018 (China),Yimou Zhang,Chao Deng/Li Sun/Ryan Zheng,7.3,666,"Set during China's Three Kingdom's era (AD 220-280). The story of a great king and his people, who will be expelled from their homeland and will aspire to claim it. The king, violent and ambitious, of mysterious methods and motives; his general, a visionary who yearns to win the final battle but needs to prepare his plans in secret; the women of the palace, who struggle to find redemption in a world where they have no place; and a commoner called ""Lord of all the world"", will be the characters around who turn the inexorable forces of this story."
