Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
1983-10-31,0.669209663,0.669657805
1983-11-30,0.68119891,0.68189567
1983-12-30,0.688705234,0.689179876
1984-01-31,0.7140307029999999,0.7145409070000001
1984-02-29,0.670600858,0.671050866
1984-03-30,0.692760651,0.6932409009999999
1984-04-30,0.7160759040000001,0.7165890359999999
1984-05-31,0.721761097,0.722282412
1984-06-29,0.736919676,0.737463127
1984-07-31,0.7645259940000001,0.765110941
1984-08-31,0.762951095,0.7635336340000001
1984-09-28,0.8090614890000001,0.809716599
1984-10-31,0.8190008190000001,0.8196721309999999
1984-11-30,0.830220008,0.830909846
1984-12-31,0.862663906,0.863408738
1985-01-31,0.884173298,0.884955752
1985-02-28,0.923787529,0.924641701
1985-03-29,0.807102502,0.8103727709999999
1985-04-30,0.803858521,0.805152979
1985-05-31,0.776397516,0.777604977
1985-06-28,0.7630675309999999,0.7636502479999999
1985-07-31,0.7089684509999999,0.709723208
1985-08-30,0.71787509,0.71864894
1985-09-30,0.709723208,0.7104795740000001
1985-10-31,0.689655172,0.699300699
1985-11-29,0.671591672,0.672043011
1985-12-31,0.691085003,0.692041522
1986-01-31,0.7074637420000001,0.707964602
1986-02-28,0.690607735,0.6915629320000001
1986-03-31,0.674308833,0.674763833
1986-04-30,0.646412411,0.64683053
1986-05-30,0.6788866259999999,0.679347826
1986-06-30,0.652315721,0.652741514
1986-07-31,0.670690812,0.67114094
1986-08-29,0.6722689079999999,0.672721157
1986-09-30,0.690607735,0.691085003
1986-10-31,0.7109847140000001,0.711490573
1986-11-28,0.697107006,0.6978367059999999
1986-12-31,0.674308833,0.674763833
1987-01-30,0.660501982,0.6609385329999999
1987-02-27,0.646746863,0.647165415
1987-03-31,0.622858922,0.623247117
1987-04-30,0.602409639,0.602772755
1987-05-29,0.613496933,0.613873542
1987-06-30,0.619770685,0.620155039
1987-07-31,0.628338046,0.628733103
1987-08-31,0.61244488,0.612820199
1987-09-30,0.61500615,0.615384615
1987-10-30,0.5807200929999999,0.581057525
1987-11-30,0.546896363,0.547195622
1987-12-31,0.529661017,0.530222694
1988-01-29,0.564971751,0.565291125
1988-02-29,0.563602547,0.563920374
1988-03-31,0.529801325,0.530222694
1988-04-29,0.531914894,0.532197978
1988-05-31,0.54377379,0.544069641
1988-06-30,0.586166471,0.586510264
1988-07-29,0.585137507,0.585651537
1988-08-31,0.594177065,0.594530321
1988-09-30,0.591366056,0.591715976
1988-10-31,0.5648122,0.5651313929999999
1988-11-30,0.541418517,0.5417118089999999
1988-12-30,0.553097345,0.553709856
1989-01-31,0.570613409,0.570939195
1989-02-28,0.5730659029999999,0.573394495
1989-03-31,0.591891092,0.592241635
1989-04-28,0.591891092,0.592241635
1989-05-31,0.634920635,0.635727908
1989-06-30,0.645577792,0.6459948320000001
1989-07-31,0.59962823,0.599988
1989-08-31,0.635324015,0.635727908
1989-09-29,0.61842919,0.6188118810000001
1989-10-31,0.6327111670000001,0.633111744
1989-11-30,0.636456212,0.636861546
1989-12-29,0.619578686,0.620347395
1990-01-31,0.594883998,0.595238095
1990-02-28,0.591366056,0.591715976
1990-03-30,0.607348922,0.607718019
1990-04-30,0.610687023,0.611060189
1990-05-31,0.596480763,0.596836765
1990-06-29,0.572573719,0.5729017470000001
1990-07-31,0.537345513,0.537634409
1990-08-31,0.52882073,0.5291005289999999
1990-09-28,0.5330490410000001,0.533333333
1990-10-31,0.513795407,0.514059528
1990-11-30,0.514588586,0.514853524
1990-12-31,0.518000518,0.5188067439999999
1991-01-31,0.508517671,0.508776393
1991-02-28,0.522739153,0.5230125520000001
1991-03-29,0.575705239,0.576701269
1991-04-30,0.579038796,0.579374276
1991-05-31,0.588235294,0.588581519
1991-06-28,0.61709349,0.617474529
1991-07-31,0.59311981,0.59347181
