,name,release_date,director(s),main_actors/actresses,average_rating_score,number_of_rating_people,brief_introduction
0,Eskiya (1996),29 November 1996 (Turkey),Yavuz Turgul,Sener Sen/Ugur Y¨¹cel/Sermin H¨¹rmeri?,8.3,"52,554","The epic adventures of the legendary Baran the Bandit following his release from prison. After serving 35 years, it is no surprise that the world has changed dramatically. Still, Baran can't help but be shocked to discover that his home village is now underwater thanks to the construction of a new dam. He then heads for Istanbul to get revenge upon his former best friend, the man who snitched on him and stole his lover Keje. Along the way, Baran teams up with Cumali, a tough young punk who finds the thief's old-fashioned ways rather quaint. When Cumali gets into deep trouble with a crime boss, Baran adds another vengeful task to his roster./After serving a 35-year jail sentence, Baran, a bandit, is released from prison in a city in Eastern Turkey. The first thing he does is to return to the village he left. But the village has been long submerged under an artificial reservoir. Baran's undoing was Berfo, a friend who had once been closer to him than a brother. In order to snare Keje, Baran's sweetheart, Berfo seized his best friend gold and have Baran arrested by the gendarme on Mountain Cudi. Then Berfo purchases Keje from her father against her will, and disappears. According to rumor, he is in Istanbul. While traveling to Istanbul by train, Baran meets Cumali, a young man. Cumali was raised in the alleys of Beyoglu, his life revolving around bars, gambling joints, alcohol, dope and woman. Cumali dreams of joining the mafia and making it big. He takes Baran to a dilapidated hotel in the backstreet's of Beyoglu. After a while, Cumali and friends discover that Baran used to be a bandit, but they can't take it seriously. For them, it is just a laugh. Cumali's dreams of a new life include Emel, his girlfriend. Emel has a convict brother, who is in trouble with the other prisoners in his jail. His life is in danger, and he needs high amount of money to get out. Cumali promises Emel to get the Money for her brother as soon as possible. Meanwhile, the bandit is going through Istanbul in a daze, lost in totally alien world, with no idea where to start looking for the woman he loves and the mortal enemy who was stolen her..."
0,Life of Brian (1979),8 November 1979 (UK),Terry Jones,Graham Chapman/John Cleese/Michael Palin,8.1,"322,151","Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah."
0,A Star Is Born (2018),17 October 2018 (Hong Kong),Bradley Cooper,Lady Gaga/Bradley Cooper/Sam Elliott,8.3,"87,717","A musician helps a young singer find fame, even as age and alcoholism send his own career into a downward spiral."
0,It Happened One Night (1934),7 September 1939 (Hong Kong),Frank Capra,Clark Gable/Claudette Colbert/Walter Connolly,8.1,"81,773",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
0,In the Name of the Father (1993),27 December 1993 (Ireland),Jim Sheridan,Daniel Day-Lewis/Pete Postlethwaite/Alison Crosbie,8.1,"136,387",A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
0,Platoon (1986),9 April 1987 (Hong Kong),Oliver Stone,Charlie Sheen/Tom Berenger/Willem Dafoe,8.1,"341,350",A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
0,The Grand Budapest Hotel (2014),20 March 2014 (Hong Kong),Wes Anderson,Ralph Fiennes/F. Murray Abraham/Mathieu Amalric,8.1,"606,987","The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend."
0,Stand by Me (1986),26 November 1986 (USA),Rob Reiner,Wil Wheaton/River Phoenix/Corey Feldman,8.1,"323,636","After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy."
0,The Truman Show (1998),5 June 1998 (USA),Peter Weir,Jim Carrey/Ed Harris/Laura Linney,8.1,"804,864",An insurance salesman/adjuster discovers his entire life is actually a television show.
0,Network (1976),25 August 1977 (Hong Kong),Sidney Lumet,Faye Dunaway/William Holden/Peter Finch,8.1,"126,506",A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
