,Acquirer Name,0,1,2,3,4
69,Revere Bank,"EVEREST BANCSHARES, INC.","IOWA RIVER BANCORP, INC.",LITTLE RIVER BANCSHARES INC,"CUIVRE RIVER BANCSHARES, INC.","FIRST NATIONAL BANCORP OF RIVER FALLS, INC."
70,Renasant,RENASANT CORPORATION,"PLEASANTS COUNTY BANKSHARES, INC.","PEOPLES BANCORP OF MT. PLEASANT, INC.","LAURENS BANCORP., LTD.","CANTON BANCSHARES, INC."
71,Southern BancShares(NC)Inc,"SOUTHERN BANCSHARES, INC.","SOUTHERN BANKSHARES, INC.","SOUTHERN BANCSHARES (N.C.), INC.","SOUTHERN MINNESOTA BANCSHARES, INC.","SOUTHEASTERN BANCSHARES, INC."
72,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.",HOOSIER HEARTLAND STATE BANCORP,"HEARTLAND BANCORP, INC.","HEARTLAND BANCSHARES, INC.","AMERICAN HEARTLAND BANCSHARES, INC."
73,Fidelity Southern,FIDELITY SOUTHERN CORPORATION,"FIDELITY KANSAS BANKSHARES, INC.","FIRST SOUTHERN BANCORP, INC.","SOUTHERN ILLINOIS BANCORP, INC.","SOUTHERN MICHIGAN BANCORP, INC."
74,German American Bancorp,"GERMAN AMERICAN BANCORP, INC.","AMERICAN INTERSTATE BANCORPORATION, INC.","FIRST AMERICAN BANCSHARES, INC.",FIRST AMERICAN BANK CORPORATION,"AMERICAN BANCORPORATION, INC."
75,KeyCorp,KEYCORP,WHITNEY CORPORATION OF IOWA,AMERICAN NATIONAL SIDNEY CORP.,FIRST BANK OF KENTUCKY CORPORATION,BAYLAKE CORP.
76,Seacoast Bankg of Florida,"PIONEER BANCSHARES, INC. OF HORATIO, ARK","BANK OF NEW YORK MELLON CORPORATION, THE","PEOPLES FINANCIAL CORP. OF ILLINOIS, INC.",EMPLOYEE STOCK BONUS TRUST FOR THE EMPLOYEES OF CITIZENS BANK,"SECURITY STATE BANCSHARES OF BEMIDJI, INC."
77,Cardinal Bankshares,CARDINAL BANKSHARES CORPORATION,"SOONER SOUTHWEST BANKSHARES, INC.","PEOPLES BANKSHARES, INCORPORATED","PLEASANTS COUNTY BANKSHARES, INC.","FIDELITY KANSAS BANKSHARES, INC."
78,Bank of the Ozarks,BANK OF THE OZARKS INC,"ADIRONDACK TRUST COMPANY EMPLOYEE STOCK OWNERSHIP TRUST, THE","ROMNEY BANKSHARES, INC.","BANC ED CORP., THE","WRZ BANKSHARES, INC."
79,United Bankshares,"UNITED BANKSHARES, INC.","UNITED BANCORPORATION OF ALABAMA, INC.","MONTICELLO BANKSHARES, INC.","SOONER SOUTHWEST BANKSHARES, INC.","PEOPLES BANKSHARES, INCORPORATED"
80,BNC Bancorp,BNC BANCORP,"BNCCORP, INC.",NBN CORPORATION,"RBC, INC.","GADSDEN CORPORATION, THE"
81,County Bancorp,TRI-COUNTY BANCORP.,"GUTHRIE COUNTY BANCSHARES, INC.",HOLMES COUNTY CAPITAL CORPORATION,"MERCER COUNTY STATE BANCORP, INC.","PLEASANTS COUNTY BANKSHARES, INC."
82,MB Financial,"JRMB II, INC","AMBAGE, INC.","CHAMBANCO, INC.",COLUMBUS CORP.,MBT CORP.
83,Hanmi Financial,HANMI FINANCIAL CORPORATION,"HAMLIN FINANCIAL CORPORATION, THE",MECHANICS BANC HOLDING COMPANY,"MECHANICS BANCORP, MHC",MECHANICS FINANCIAL CORPORATION
84,Capital Bank Financial,CAPGEN CAPITAL GROUP III LP,HOLMES COUNTY CAPITAL CORPORATION,"CAPITAL DIRECTIONS, INC.",LONGVIEW CAPITAL CORPORATION,"UNITED CAPITAL BANCSHARES, INC."
85,WSFS Financial,"WESSINGTON BANKSHARES, INC.","FS BANCSHARES, INC.","FSB BANKSHARES, INC.","FSC BANCSHARES, INC.","FSB BANCSHARES, INC."
86,Great Western Bancorp,WESTERN HOLDING COMPANY OF WOLF POINT,WESTERN DAKOTA HOLDING COMPANY,GREAT PLAINS BANK CORPORATION,1867 WESTERN FINANCIAL CORPORATION,"WESTERN BANCSHARES, INC."
87,Charter Financial,"CHARTER BANCSHARES, INC.","CHARTER BANKSHARES, INC.","AMERICAN CHARTERED BANCORP, INC.","PHENIX-GIRARD BANCSHARES, INC.","TRADERS & FARMERS BANCSHARES, INC."
88,BBCN Bancorp,"BBCN BANCORP, INC.",BB&T CORPORATION,CBB FINANCIAL CORP.,"SBB BANCSHARES, INC.","BYRON B. WEBB, INC."
89,BOK Financial,"BBOK BANCSHARES, INC.","BOJ BANCSHARES, INC.",WORKERS UNITED,"STUPP BROS., INC.",BOV HOLDING COMPANY
90,Franklin Financial Network,"COMMODORE FINANCIAL NETWORK, INC.",FRANKLIN FINANCIAL SERVICES CORPORATION,"FRANKLIN BANCSHARES, INC.","FRANKLIN STATE BANCSHARES, INC.","FRANKLIN BANCSHARES, INC"
91,Pacificmmerce Bank,PACIFIC ENTERPRISE BANCORP,CENTRAL PACIFIC FINANCIAL CORP.,PACIFIC CONTINENTAL CORPORATION,OREGON PACIFIC BANCORP,PACIFIC FINANCIAL CORPORATION
