,CONAME,address,lat,lng,distance
241,URSTADT BIDDLE PROPERTIES,"321 Railroad Avenue, Greenwich, CT, 6830",41.0215484,-73.6324187,10669.03891
242,HUBBELL INC,"40 Waterview Drive, Shelton, CT, 6484",41.296005,-73.0808096,10623.056612
243,HUNT (JB) TRANSPRT SVCS INC,"615 J.B. Hunt Corporate Drive, Lowell, AR, 72745",36.2455249,-94.1477949,11635.174239
244,HUNTINGTON BANCSHARES,"41 South High Street, Columbus, OH, 43287",39.9610405,-83.0007548,11039.449388
245,ITT CORP,"1133 Westchester Avenue, White Plains, NY, 10604",41.015739,-73.72495839999999,10672.609411
246,RAYONIER INC,"225 Water Street, Suite 1400, Jacksonville, FL, 32202",30.3258787,-81.66148419999999,12030.595977
247,IDACORP INC,"1221 West Idaho Street, Boise, ID, 83702",43.6187705,-116.2082,10768.958755
248,ILLINOIS TOOL WORKS,"155 Harlem Avenue, Glenview, IL, 60025",42.0588129,-87.8058528,10909.022197
249,VECTREN CORP,"One Vectren Square, Evansville, IN, 47708",37.97152820000001,-87.5766836,11348.883955
250,INGERSOLL-RAND PLC,"Airside Business Park, 170/175 Lakeview Drive, Swords",53.4493569,-6.2184183,6245.805896
251,AEGION  CORP,"17988 Edison Avenue, St. Louis, MO, 63005",38.6647913,-90.6335203,11324.149928
252,GRIFFON CORP,"712 Fifth Avenue, 18th Floor, New York, NY, 10019",40.7622826,-73.9750368,10706.655367
253,INTEGRATED DEVICE TECH INC,"6024 Silver Creek Valley Road, San Jose, CA, 95138",37.2567114,-121.7858772,11355.086476
254,INTEL CORP,"2200 Mission College Boulevard, Santa Clara, CA, 95054",37.3875909,-121.9637869,11336.992263
255,INTERFACE INC,"2859 Paces Ferry Road, Suite 2000, Atlanta, GA, 30339",33.8688619,-84.4693563,11726.182365
256,INTL BUSINESS MACHINES CORP,"1 New Orchard Road, Armonk, NY, 10504",41.1095709,-73.7228708,10662.91034
257,INTL FLAVORS & FRAGRANCES,"521 West 57th Street, New York, NY, 10019",40.7698378,-73.98952249999999,10706.34206
258,INTERDIGITAL INC,"200 Bellevue Parkway, Suite 300, Wilmington, DE, 19809",39.7795839,-75.4940929,10855.846151
259,INTL PAPER CO,"6400 Poplar Avenue, Memphis, TN, 38197",35.1014608,-89.8502899,11701.149226
260,INTL SPEEDWAY CORP  -CL A,"One Daytona Boulevard, Daytona Beach, FL, 32114",29.1931944,-81.0714315,12133.109083
261,INTERPUBLIC GROUP OF COS,"909 Third Avenue, New York, NY, 10022",40.7583293,-73.96798869999999,10706.836185
262,INVACARE CORP,"1 Invacare Way, Elyria, OH, 44035",41.3724673,-82.0711859,10867.175406
263,ANIXTER INTL INC,"2301 Patriot Boulevard, Glenview, IL, 60026",42.0976623,-87.8236356,10905.100284
264,JACOBS ENGINEERING GROUP INC,"155 North Lake Avenue, Pasadena, CA, 91101",34.1484824,-118.1327948,11767.604351
265,EMCOR GROUP INC,"301 Merritt Seven, Norwalk, CT, 6851",41.1494149,-73.42689899999999,10649.297996
266,JOHNSON & JOHNSON,"One Johnson & Johnson Plaza, New Brunswick, NJ, 8933",40.4979518,-74.44305589999999,10748.746507
267,JOHNSON CONTROLS INC,"5757 North Green Bay Avenue, Milwaukee, WI, 53209",43.12394279999999,-87.93698839999999,10795.386737
268,KLA-TENCOR CORP,"One Technology Drive, Milpitas, CA, 95035",37.4207877,-121.924156,11334.338624
269,KINDER MORGAN INC,"1001 Louisiana Street, Suite 1000, Houston, TX, 77002",29.7578183,-95.3673755,12363.04619
270,KAMAN CORP,"1332 Blue Hills Avenue, Bloomfield, CT, 6002",41.8594262,-72.70898919999999,10553.338006
271,GREAT PLAINS ENERGY INC,"1200 Main Street, Kansas City, MO, 64105",39.0996349,-94.5837663,11325.24036
272,KANSAS CITY SOUTHERN,"427 West 12th Street, Kansas City, MO, 64105",39.0996289,-94.58971199999999,11325.300445
273,WESTAR ENERGY INC,"818 South Kansas Avenue, Topeka, KS, 66612",39.0480472,-95.6744743,11341.139355
274,KELLOGG CO,"One Kellogg Square, Battle Creek, MI, 49016",42.3208176,-85.1863092,10832.575813
275,KELLY SERVICES INC  -CL A,"999 West Big Beaver Road, Troy, MI, 48084",42.5607669,-83.16649129999999,10764.89366
