ticker,security,sector,sub industry,location,date
AVY,Avery Dennison Corp,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BHGE,"Baker Hughes, a GE Company",Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BLL,Ball Corp,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BAC,Bank of America Corp,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BK,The Bank of New York Mellon Corp.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BAX,Baxter International Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BBT,BB&T Corporation,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BDX,Becton Dickinson,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BRK-B,Berkshire Hathaway,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BBY,Best Buy Co. Inc.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BIIB,Biogen Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BLK,BlackRock,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
HRB,Block H&R,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BA,Boeing Company,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BKNG,Booking Holdings Inc,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BWA,BorgWarner,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BXP,Boston Properties,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BSX,Boston Scientific,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BHF,Brighthouse Financial Inc,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BMY,Bristol-Myers Squibb,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AVGO,Broadcom,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BR,Broadridge Financial Solutions,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BF-B,Brown-Forman Corp.,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CHRW,C. H. Robinson Worldwide,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
COG,Cabot Oil & Gas,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CDNS,Cadence Design Systems,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CPB,Campbell Soup,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
COF,Capital One Financial,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CAH,Cardinal Health Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KMX,Carmax Inc,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CCL,Carnival Corp.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CAT,Caterpillar Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CBOE,Cboe Global Markets,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CBRE,CBRE Group,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CBS,CBS Corp.,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CELG,Celgene Corp.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CNC,Centene Corporation,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CNP,CenterPoint Energy,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CTL,CenturyLink Inc,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CERN,Cerner,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CF,CF Industries Holdings Inc,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
SCHW,Charles Schwab Corporation,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CHTR,Charter Communications,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CVX,Chevron Corp.,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CMG,Chipotle Mexican Grill,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CB,Chubb Limited,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CHD,Church & Dwight,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CI,CIGNA Corp.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
XEC,Cimarex Energy,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CINF,Cincinnati Financial,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CTAS,Cintas Corporation,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CSCO,Cisco Systems,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
C,Citigroup Inc.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CFG,Citizens Financial Group,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CTXS,Citrix Systems,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CLX,The Clorox Company,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CME,CME Group Inc.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CMS,CMS Energy,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
KO,Coca-Cola Company (The),Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CTSH,Cognizant Technology Solutions,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CL,Colgate-Palmolive,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CMCSA,Comcast Corp.,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CMA,Comerica Inc.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CAG,Conagra Brands,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CXO,Concho Resources,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
COP,ConocoPhillips,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ED,Consolidated Edison,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
STZ,Constellation Brands,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
COO,The Cooper Companies,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CPRT,Copart Inc,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GLW,Corning Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
COST,Costco Wholesale Corp.,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
COTY,"Coty, Inc",Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CCI,Crown Castle International Corp.,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CSX,CSX Corp.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CMI,Cummins Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
CVS,CVS Health,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DHI,D. R. Horton,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DHR,Danaher Corp.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DRI,Darden Restaurants,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DVA,DaVita Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DE,Deere & Co.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DAL,Delta Air Lines Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
XRAY,Dentsply Sirona,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DVN,Devon Energy Corp.,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DLR,Digital Realty Trust Inc,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DFS,Discover Financial Services,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
DISCA,Discovery Inc. Class A,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
