SIMS_LATITUDE,SIMS_LONGITUDE
30.498001,-87.881412
31.664137,-85.606234
33.281261,-85.802182
34.690556,-87.821389
34.758781,-87.650562
34.287627,-85.968298
32.498567,-86.136587
31.106389,-87.071111
34.015,-86.012222
33.993749,-85.991072
33.904039,-86.053867
31.226359,-85.390768
31.190657,-85.423117
34.876944,-85.720833
33.3975,-86.955278
33.553056,-86.815
33.529444,-86.850278
33.5275,-86.807778
33.485556,-86.915
33.331111,-87.003611
33.451389,-86.967222
33.459722,-87.305556
33.545278,-86.549167
33.499722,-86.924167
33.386389,-86.816667
33.704722,-86.669167
33.801667,-86.9425
33.578333,-86.773889
33.585556,-86.779444
33.565278,-86.796389
34.342904,-87.33973
34.788333,-86.616111
34.72874,-86.58501
34.620278,-86.566389
34.68767,-86.58637
32.503611,-87.834722
30.76652,-88.075727
30.769941,-88.087526
30.720515,-88.058951
30.658306,-88.036667
30.474674,-88.14114
30.47415,-88.14102
32.425833,-86.285278
32.40712,-86.256367
34.518735,-86.976939
31.790556,-85.979167
31.792969,-85.980522
32.476781,-84.99911
32.467971,-85.083841
33.317316,-86.825092
33.312927,-86.821104
32.36401,-88.201865
33.279747,-86.349438
33.498328,-86.122667
33.436667,-86.100556
33.18935,-87.484217
33.0896,-87.459731
33.832778,-87.2725
31.255833,-88.022967
55.324675,-160.508331
61.205861,-149.824602
61.215,-149.723056
61.181083,-149.817389
61.191514,-149.93493
61.3267,-149.569707
63.7232,-148.9676
64.845278,-147.721111
64.840672,-147.722461
64.832778,-147.731389
64.842222,-147.750833
58.388497,-134.567237
59.982667,-152.661089
61.534163,-149.031655
62.314754,-150.317909
67.0931,-157.8689
59.46008,-135.31053
56.61076,-132.81234
35.745989,-109.071737
34.058475,-109.441259
31.3658,-109.73095
31.3492,-109.539683
32.00941,-109.38906
35.206111,-111.652777
34.866666,-111.765
36.05864,-112.18358
36.077814,-112.129551
35.973117,-111.984846
35.140635,-111.969938
34.229733,-111.3295
33.399135,-110.858896
33.6547,-111.1074
33.006179,-110.785797
33.419017,-110.82967
34.090866,-110.942801
